ano,url,titulo,data,id,slug
2022,https://www.ufrn.br/imprensa/noticias/56994/workshop-do-agronordeste-na-eaj-marca-inicio-de-emissao-de-cafs-no-brasil,Workshop do Agronordeste na EAJ marca início de emissão de CAFs no Brasil,29/03/2022 17:09,56994,workshop-do-agronordeste-na-eaj-marca-inicio-de-emissao-de-cafs-no-brasil
2022,https://www.ufrn.br/imprensa/noticias/56921/pop-rn-abre-vagas-para-estudantes-de-ti-engenharia-e-administracao,"PoP-RN abre vagas para estudantes de TI, Engenharia e Administração",28/03/2022 16:09,56921,pop-rn-abre-vagas-para-estudantes-de-ti-engenharia-e-administracao
2022,https://www.ufrn.br/imprensa/noticias/56812/selecao-aberta-a-profissionais-para-o-programa-novos-caminhos-da-eaj,Seleção aberta a profissionais para o Programa Novos Caminhos da EAJ,24/03/2022 17:45,56812,selecao-aberta-a-profissionais-para-o-programa-novos-caminhos-da-eaj
2022,https://www.ufrn.br/imprensa/noticias/56039/eaj-em-harvard-aluna-fala-sobre-experiencia-na-simulacao-da-onu,EAJ em Harvard: aluna fala sobre experiência na Simulação da ONU,25/02/2022 15:45,56039,eaj-em-harvard-aluna-fala-sobre-experiencia-na-simulacao-da-onu
2022,https://www.ufrn.br/imprensa/noticias/55871/ultimo-dia-para-inscricoes-no-curso-tecnico-em-aquicultura-da-eaj,Último dia para inscrições no Curso Técnico em Aquicultura da EAJ,21/02/2022 17:42,55871,ultimo-dia-para-inscricoes-no-curso-tecnico-em-aquicultura-da-eaj
2022,https://www.ufrn.br/imprensa/noticias/55808/proae-orienta-sobre-prestacao-de-contas-do-auxilio-instrumental,Proae orienta sobre prestação de contas do Auxílio Instrumental,18/02/2022 10:50,55808,proae-orienta-sobre-prestacao-de-contas-do-auxilio-instrumental
2022,https://www.ufrn.br/imprensa/noticias/55759/eaj-lanca-edital-de-vagas-remanescentes-para-curso-de-aquicultura,EAJ lança edital de vagas remanescentes para curso de Aquicultura,17/02/2022 11:48,55759,eaj-lanca-edital-de-vagas-remanescentes-para-curso-de-aquicultura
2022,https://www.ufrn.br/imprensa/noticias/55693/alunos-da-eaj-sao-classificados-para-fase-final-do-campus-mobile-2022,Alunos da EAJ são classificados para fase final do Campus Mobile 2022,16/02/2022 09:20,55693,alunos-da-eaj-sao-classificados-para-fase-final-do-campus-mobile-2022
2022,https://www.ufrn.br/imprensa/noticias/55582/comperve-divulga-lista-de-aprovados-para-cursos-tecnicos-da-eaj,Comperve divulga lista de aprovados para cursos técnicos da EAJ,14/02/2022 10:37,55582,comperve-divulga-lista-de-aprovados-para-cursos-tecnicos-da-eaj
2022,https://www.ufrn.br/imprensa/noticias/55259/eaj-oferece-curso-gratuito-sobre-recursos-hidricos-e-energia,EAJ oferece curso gratuito sobre recursos hídricos e energia,03/02/2022 10:47,55259,eaj-oferece-curso-gratuito-sobre-recursos-hidricos-e-energia
